date,num_requests,process_time_mean,process_time_min,process_time_max,cpu_mean,ram_mean
2021-01-07 06:30:00,0,0.0,0.0,0.0,0.1,0.8466666666666666
2021-01-07 07:00:00,0,0.0,0.0,0.0,0.1166666666666666,0.8466666666666666
2021-01-07 07:30:00,0,0.0,0.0,0.0,0.1333333333333333,0.8466666666666666
2021-01-07 08:00:00,0,0.0,0.0,0.0,0.1,0.8466666666666666
2021-01-07 08:30:00,0,0.0,0.0,0.0,0.1166666666666666,0.8466666666666666
2021-01-07 09:00:00,21,40.95238095238095,33.0,49.0,0.7166666666666667,1.6933333333333331
2021-01-07 09:30:00,121,64.57851239669421,13.0,551.0,7.064666666666667,5.503333333333333
2021-01-07 10:00:00,105,67.05714285714286,14.0,575.0,6.25,4.656666666666666
2021-01-07 10:30:00,17,79.05882352941177,18.0,360.0,1.4333333333333331,1.6933333333333331
2021-01-07 11:00:00,28,73.64285714285714,18.0,411.0,2.1495,3.3866666666666663
2021-01-07 11:30:00,76,66.76315789473684,18.0,347.0,4.333333333333333,3.81
2021-01-07 12:00:00,80,63.675,9.0,87.0,4.066666666666666,5.079999999999999
2021-01-07 12:30:00,114,69.07894736842105,15.0,546.0,6.764666666666667,6.7733333333333325
2021-01-07 13:00:00,136,73.9779411764706,11.0,595.0,8.416666666666666,5.503333333333333
2021-01-07 13:30:00,248,78.13306451612904,9.0,534.0,16.133333333333333,9.313333333333333
2021-01-07 14:00:00,210,79.23333333333333,8.0,580.0,14.45,8.890333333333333
2021-01-07 14:30:00,23,78.95652173913044,68.0,107.0,1.5159999999999998,2.1166666666666667
2021-01-07 15:00:00,17,106.11764705882354,31.0,612.0,1.7666666666666666,2.1166666666666667
2021-01-07 15:30:00,0,0.0,0.0,0.0,0.1,1.2699999999999998
2021-01-07 16:00:00,24,75.875,31.0,92.0,1.4,3.3866666666666663
2021-01-07 16:30:00,134,84.58955223880596,8.0,591.0,9.583333333333334,7.196666666666666
2021-01-07 17:00:00,130,85.32307692307693,12.0,616.0,9.161,7.196666666666666
2021-01-07 17:30:00,103,91.252427184466,16.0,606.0,7.966666666666667,5.926666666666666
2021-01-07 18:00:00,87,83.9080459770115,8.0,398.0,6.233333333333333,4.656666666666666
2021-01-07 18:30:00,0,0.0,0.0,0.0,0.0833333333333333,1.2699999999999998
2021-01-07 19:00:00,0,0.0,0.0,0.0,0.1333333333333333,0.8466666666666666
2021-01-07 19:30:00,0,0.0,0.0,0.0,0.1,0.8466666666666666
2021-01-07 20:00:00,0,0.0,0.0,0.0,0.1,0.8466666666666666
2021-01-07 20:30:00,0,0.0,0.0,0.0,0.1166666666666666,1.2699999999999998
2021-01-07 21:00:00,0,0.0,0.0,0.0,0.1,0.8466666666666666
2021-01-07 21:30:00,0,0.0,0.0,0.0,0.1,0.8466666666666666
2021-01-07 22:00:00,0,0.0,0.0,0.0,0.1166666666666666,0.8466666666666666
2021-01-07 22:30:00,0,0.0,0.0,0.0,0.1,0.8466666666666666
2021-01-07 23:00:00,1,40.0,40.0,40.0,0.15,1.2699999999999998
2021-01-07 23:30:00,0,0.0,0.0,0.0,0.1166666666666666,0.8466666666666666
2021-01-08 00:00:00,0,0.0,0.0,0.0,0.1,1.2699999999999998
2021-01-08 00:30:00,0,0.0,0.0,0.0,0.1,0.8466666666666666
2021-01-08 01:00:00,0,0.0,0.0,0.0,0.1166666666666666,0.8466666666666666
2021-01-08 01:30:00,0,0.0,0.0,0.0,0.0833333333333333,0.8466666666666666
2021-01-08 02:00:00,0,0.0,0.0,0.0,0.1165,0.8466666666666666
2021-01-08 02:30:00,0,0.0,0.0,0.0,0.0833333333333333,1.2699999999999998
